id,party,cardID,createdAt,exclusionReason,secondsDifference
2278,AFD,seeding,1738753752463,seedingData,0
2279,FDP,seeding,1738753752463,seedingData,0
2280,AFD,seeding,1738753752463,seedingData,0
2281,AFD,seeding,1738753752463,seedingData,0
2282,CDU,seeding,1738753752463,seedingData,0
2283,SPD,seeding,1738753752463,seedingData,0
2284,CDU,seeding,1738753752463,seedingData,0
2285,SPD,seeding,1738753752463,seedingData,0
2286,AFD,seeding,1738753752463,seedingData,0
2287,CDU,seeding,1738753752463,seedingData,0
2288,GRUENE,4.96971E+11,1738758457166,,4704.703
2289,GRUENE,4.96971E+11,1738758501487,,44.321
2290,LINKE,3.58559E+11,1738758918506,,417.019
2291,GRUENE,4.96971E+11,1738758963460,,44.954
2292,SPD,3.58141E+11,1738759025462,,62.002
2293,GRUENE,4.96971E+11,1738759287625,,262.163
2294,AFD,84671265427,1738761643001,,2355.376
2295,AFD,84671265427,1738761651431,doubleVote,8.43
2296,FDP,9.76582E+11,1738762785775,,1134.344
2297,AFD,84671265427,1738764183503,,1397.728
2298,AFD,84671265427,1738764194158,doubleVote,10.655
2299,GRUENE,4.96971E+11,1738764395675,video,201.517
2300,GRUENE,4.96971E+11,1738764506271,video,110.596
2301,SPD,3.58141E+11,1738764535968,video,29.697
2302,SONSTIGE,85093317330,1738764578975,video,43.007
2303,CDU,5.05497E+11,1738764596374,video,17.399
2304,LINKE,3.58559E+11,1738764635223,,38.849
2305,AFD,84671265427,1738766411291,,1776.068
2306,CDU,5.05497E+11,1738767588472,,1177.181
